,plus_signs,minus_signs,orthants
715,99,96,186
716,101,84,170
717,82,79,98
718,59,55,58
719,101,84,176
720,84,85,184
721,64,65,108
722,68,92,122
723,99,92,194
724,89,88,192
725,95,80,140
726,74,89,120
727,99,93,184
728,94,93,184
729,97,83,172
730,90,109,184
731,96,96,176
732,94,89,162
733,78,75,126
734,92,95,198
735,90,98,180
736,84,95,160
737,93,96,162
738,91,90,130
739,85,84,144
740,67,57,74
741,75,95,134
742,98,90,164
743,92,96,198
744,98,86,154
745,87,104,166
746,87,93,158
747,95,69,116
748,93,100,168
749,84,93,144
750,83,90,150
751,79,80,166
752,90,89,178
753,86,94,166
754,89,91,178
755,100,92,160
756,95,104,190
757,90,78,168
758,83,88,140
759,93,85,136
760,96,96,182
761,88,82,126
762,86,85,150
763,100,89,162
764,80,82,124
765,84,91,110
766,87,91,172
767,79,96,162
768,92,90,150
769,70,84,154
770,99,102,226
771,92,98,170
772,107,76,148
773,104,90,174
774,101,90,188
775,80,87,136
776,87,85,120
777,100,86,148
778,90,95,176
779,97,100,210
780,83,78,136
781,82,91,152
782,101,97,182
783,96,95,174
784,82,94,160
785,88,90,158
786,93,97,192
787,77,75,136
788,73,92,116
789,97,98,194
790,100,91,166
791,96,74,126
792,100,100,228
793,105,90,180
794,103,97,168
795,92,93,158
796,93,95,192
797,69,74,138
798,82,93,144
799,85,87,144
800,76,83,124
801,86,80,176
802,89,95,182
803,107,83,146
804,94,91,186
805,98,97,164
806,92,94,196
807,109,88,154
808,75,80,140
809,82,92,162
810,77,97,176
811,98,93,170
812,90,78,130
813,107,84,188
814,84,77,136
815,100,61,100
816,93,97,156
817,101,88,168
818,80,78,142
819,99,92,146
820,90,95,168
821,85,76,148
822,75,73,104
823,90,107,178
824,100,86,138
825,82,75,122
826,84,103,162
827,78,75,136
828,94,77,148
829,90,93,174
830,81,83,118
831,106,92,190
832,79,84,126
833,79,75,134
834,79,73,90
835,87,99,186
836,81,87,144
837,88,81,170
838,82,117,160
839,82,98,118
840,91,93,180
841,94,95,160
842,82,65,100
843,85,97,158
844,80,81,132
845,81,77,148
846,89,97,158
847,88,76,138
848,99,88,194
849,84,85,150
850,80,104,182
851,99,97,188
852,68,62,80
853,99,94,180
854,94,97,166
855,82,80,128
856,94,105,210
857,87,89,160
858,93,94,144
859,82,71,120
860,94,107,178
861,82,92,154
862,91,81,120
863,95,87,150
864,98,89,192
865,89,78,148
866,97,87,166
867,91,90,150
868,105,87,190
869,88,85,142
870,102,88,190
871,84,88,150
872,100,99,182
873,103,101,198
874,87,91,164
875,78,70,84
876,89,85,150
877,104,96,168
878,83,94,184
879,86,96,186
880,102,84,136
881,99,79,164
882,81,91,132
883,91,89,172
884,95,94,168
885,99,90,178
886,84,61,106
887,100,96,190
888,51,36,48
889,73,84,128
890,86,80,130
891,99,98,182
892,97,77,132
893,88,79,128
894,99,80,142
895,87,96,168
896,86,73,168
897,70,97,80
898,74,81,122
899,93,83,116
900,90,86,160
901,85,114,162
902,62,52,100
903,97,101,196
904,90,94,184
905,89,90,184
906,96,103,194
